tf,td,tr,ts,
27.9,25,22.7,24.1,
27.9,25,22.7,24.1,
27.9,25,22.65,24.1,
27.9,25,22.6,24.1,
27.9,25,22.65,24.1,
27.9,25,22.55,24.1,
27.9,25,22.55,24.1,
27.9,25,22.6,24.1,
28,25,22.6,24.1,
28,25,22.6,24.1,
27.9,25,22.6,24.2,
27.9,25,22.6,24.1,
27.9,25,22.55,24.1,
27.8,25,22.55,24.2,
27.9,25,22.55,24.1,
27.9,25,22.6,24.1,
28.1,25,22.65,24.1,
28.2,25,22.6,24.2,
28.2,25,22.55,24.1,
28.2,25,22.65,24.2,
28.3,25,22.55,24.1,
28.4,25,22.6,24.1,
28.4,25,22.65,24.1,
28.4,25,22.55,24.1,
28.4,25,22.6,24.1,
28.4,25,22.6,24.1,
28.4,25,22.6,24.2,
28.4,25,22.6,24.1,
28.4,25,22.6,24.1,
28.4,25,22.6,24.1,
28.4,25,22.6,24.1,
28.4,25,22.6,24.2,
28.4,25,22.65,24.2,
